date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017-03-11,153597,145690,137583,132823,131061,130255,131698,136006,144352,158543,166954,168006,166603,166834,162666,154832,150270,148158,148940,160855,171644,171594,163302,151419.0
2017-03-12,141901,133169,126414,121723,120159,120088,121097,121993,126451,136804,145251,149740,148851,149502,148277,141975,138428,137419,140371,155735,170052,170702,164415,152445.0
2017-03-13,140886,132198,128098,125326,126020,130087,145505,168929,185383,194175,200102,201774,202686,200487,193442,189703,187765,188042,189163,198155,206946,202732,185499,168635.0
2017-03-14,156742,147414,140528,139224,138331,141095,154395,176054,192043,199215,202660,202450,202329,199753,192131,187575,185199,183515,182177,194274,206043,201720,186006,169070.0
2017-03-15,156008,145831,139164,137547,136140,139606,154248,173840,188993,193817,195201,193906,192367,190252,183694,180447,178405,176824,175982,187914,202514,200211,184332,167875.0
2017-03-16,156087,146469,140074,138217,137512,139874,152650,171359,186724,192252,192857,191943,191591,190106,184252,181061,179130,178085,177105,188025,201499,198787,184746,168826.0
2017-03-17,157589,147250,141190,138493,138007,141212,153126,171123,184592,191474,193524,192633,190244,189171,182718,176989,173503,171699,171158,182206,193627,191561,177842,163373.0
2017-03-18,152964,144321,136641,133181,130121,130168,132163,135950,145507,158260,165917,166584,164648,164510,160325,153271,148447,146601,146854,157574,171423,172761,164267,154247.0
2017-03-19,142947,132600,125616,121751,119813,118872,121328,121478,127439,138181,146545,149315,147750,147632,145018,138768,135362,133682,136237,148889,166704,169773,163254,152456.0
2017-03-20,139808,131472,126307,123892,124836,128163,142264,158021,171991,180047,184381,186274,185627,183997,178000,173093,170148,168569,168844,179267,195296,192795,177176,160554.0
2017-03-21,150490,141183,136927,135478,134824,138224,151075,169320,183685,191280,194714,194738,194270,193860,187326,183623,180220,180426,179624,189916,203547,199790,184519,166726.0
2017-03-22,156362,148342,142030,139241,138193,141924,154920,173840,188098,195296,198679,198747,198346,196583,190952,186837,185701,185408,185087,195226,207823,203934,187899,170800.0
2017-03-23,159094,150331,144063,142000,141626,144723,157815,176578,193441,200089,203516,203208,203134,201955,195947,192310,189489,188171,188629,198438,213549,208560,192677,174829.0
2017-03-24,162620,152538,146537,143422,142768,147257,159565,179492,198042,206865,209819,209365,207043,206765,198070,192951,190539,189136,188749,197194,209166,205013,191181,175983.0
2017-03-25,164079,153133,144242,139923,138935,138523,139800,144050,156454,173959,184524,187390,186594,186993,182114,173873,167362,165775,165789,174719,188827,189580,180138,167738.0
2017-03-26,153900,142609,133950,129870,128346,129289,132454,133462,141514,153500,159306,161313,161721,162164,155686,149734,146286,146469,150650,168066,184311,177437,164609,
2017-03-27,150252,139712,133463,131244,131065,134532,150582,176650,193425,200325,205765,208016,208028,206107,198557,192967,189378,186975,184089,184889,195989,207680,191853,175568.0
2017-03-28,162414,151046,144153,142059,140249,142810,155925,180452,195897,201746,203335,200281,197181,194611,187829,182790,179425,177984,175768,175659,188070,203721,189080,173499.0
2017-03-29,161258,150777,142996,140566,139460,142579,154852,179731,193524,198953,197865,195244,193957,191948,185359,180950,178492,176042,173126,173881,185155,200229,185375,170121.0
2017-03-30,158560,148169,141672,138942,137351,139745,152616,176565,188068,192481,192610,191338,190322,188348,181525,177778,175750,174168,171439,173539,184798,196873,183299,167507.0
2017-03-31,157794,148931,141716,139458,138221,140534,153280,175730,188161,193545,194936,193392,192016,188964,181480,175553,173820,171652,169468,170759,179645,190876,179070,165619.0
2017-04-01,157681,147764,140294,135654,133452,132636,135480,141486,147563,161473,170265,169541,167437,167308,163510,156230,150703,148203,148014,149122,159025,175174,168451,159350.0
2017-04-02,149093,139230,131254,127405,125809,125330,126694,130091,131775,141725,149172,152653,153083,152745,151507,144421,139637,137243,137405,141506,154214,173419,169480,156988.0
2017-04-03,144083,134503,128880,127452,126949,130894,147363,171433,185509,192497,192737,192029,192481,191048,184507,179525,177345,175227,172727,172000,181166,196613,182063,165989.0
